number,points,question,answer,wa1,wa2,wa3
1,10,"신규호는 서윤건을 제외한 누군가와 1년 이상 연애한 적이 없다. 서윤건을 만나기 전 신규호의 최장 연애 기간은?","10개월","8개월","9개월","11개월"
2,10,"신규호는 여행부대 여름 여행 때 서윤건에게 고백하였다. 신규호가 고백한 날의 요일은?","토요일","목요일","금요일","일요일"
3,10,"신규호가 서윤건의 허벅지에 볼을 비비적거린 것을 두고 서윤건은 신규호가 어떤 일 이후 유난히 치댄다고 생각하였다. 그 계기가 되었던 일은?","신규호의 생일","학교 축제","신규호가 동아리방에서 서윤건을 변호해준 일","신규호가 인턴에 합격한 일"
4,20,"신규호는 교양 수업에서 서윤건과 조모임을 하였다. 당시 신규호가 바빴던 이유로 언급되지 않은 것은?","축제 준비","언론고시 스터디","번역 아르바이트","중간고사"
5,20,"서윤건은 신규호가 외근을 나갔던 병원으로 찾아간 적이 있다. 해당 병원의 특징으로 옳지 않은 것은?","경사진 곳에 위치함","파파 오피스텔에서 차로 20분 거리에 위치함","옆에 고가가 있음","근처에 큰 버스 정류장이 있음"
6,20,"여행부대 회식 때 서윤건은 신규호에게 '개수작 좀 작작 부리라고' 말하였다. 서윤건이 그렇게 말한 이유로 적절하지 않은 것은?","신규호가 담배를 빌려서","신규호가 같이 집에 가자고 해서","신규호가 밥을 사줘서","신규호가 회식 때 옆자리에 앉아서"
8,20,"다음 중 서윤건의 폰에 저장된 신규호 연락처의 저장명으로 언급되지 않은 것은?","신규호","여행부대 신규호","규호","❤"
9,30,"신규호가 '데이일보' 인턴 합격 소식을 들은 날은?","7월 8일","7월 7일","7월 9일","7월 10일"
9,30,"다음 중 '이 새끼'가 지칭하는 대상이 다른 것은?","이 새끼도 참 성격하고 얼굴이 안 맞는단 말이야……","이 새끼가 진짜 그 짓에 돌아버렸나","아무튼 이 새끼 벽 치는 거 하고는……","이 새끼가 이제는 작전을 바꾼 건가?"
10,30,"서윤건은 신규호가 인턴으로 근무할 당시 회사로 꽃을 보낸 적이 있다. 서윤건이 보낸 꽃으로 적절한 것은?","하얀 장미꽃 한 송이","하얀 장미꽃 한 다발","붉은 장미꽃 한 송이","붉은 장미꽃 한 다발"
